epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1680017577886,2023-03-28T17.32.57.886,0.000,0.017,-0.037,1.012
1680017577896,2023-03-28T17.32.57.896,0.010,0.018,-0.037,1.022
1680017577906,2023-03-28T17.32.57.906,0.020,0.013,-0.025,1.015
1680017577916,2023-03-28T17.32.57.916,0.030,0.006,-0.011,1.013
1680017577926,2023-03-28T17.32.57.926,0.040,0.004,0.001,1.020
1680017577936,2023-03-28T17.32.57.936,0.050,0.004,0.001,1.017
1680017577946,2023-03-28T17.32.57.946,0.060,0.010,-0.010,1.019
1680017577956,2023-03-28T17.32.57.956,0.070,0.015,-0.026,1.017
1680017577966,2023-03-28T17.32.57.966,0.080,0.014,-0.034,1.017
1680017577976,2023-03-28T17.32.57.976,0.090,0.014,-0.026,1.019
1680017577986,2023-03-28T17.32.57.986,0.100,0.013,-0.014,1.017
1680017577996,2023-03-28T17.32.57.996,0.110,0.008,-0.005,1.019
1680017578006,2023-03-28T17.32.58.006,0.120,0.005,-0.002,1.017
1680017578016,2023-03-28T17.32.58.016,0.130,0.003,-0.008,1.018
1680017578026,2023-03-28T17.32.58.026,0.140,0.011,-0.016,1.020
1680017578036,2023-03-28T17.32.58.036,0.150,0.017,-0.025,1.017
1680017578046,2023-03-28T17.32.58.046,0.160,0.016,-0.029,1.017
1680017578056,2023-03-28T17.32.58.056,0.170,0.012,-0.024,1.018
1680017578066,2023-03-28T17.32.58.066,0.180,0.009,-0.015,1.017
1680017578076,2023-03-28T17.32.58.076,0.190,0.008,-0.005,1.019
1680017578086,2023-03-28T17.32.58.086,0.200,0.008,-0.003,1.018
1680017578096,2023-03-28T17.32.58.096,0.210,0.008,-0.011,1.014
1680017578106,2023-03-28T17.32.58.106,0.220,0.011,-0.021,1.018
1680017578116,2023-03-28T17.32.58.116,0.230,0.015,-0.025,1.018
1680017578126,2023-03-28T17.32.58.126,0.240,0.016,-0.026,1.016
1680017578136,2023-03-28T17.32.58.136,0.250,0.014,-0.019,1.018
1680017578146,2023-03-28T17.32.58.146,0.260,0.007,-0.011,1.017
1680017578156,2023-03-28T17.32.58.156,0.270,0.003,-0.006,1.018
1680017578166,2023-03-28T17.32.58.166,0.280,0.008,-0.005,1.018
1680017578176,2023-03-28T17.32.58.176,0.290,0.012,-0.013,1.018
1680017578186,2023-03-28T17.32.58.186,0.300,0.013,-0.021,1.018
1680017578196,2023-03-28T17.32.58.196,0.310,0.015,-0.029,1.019
1680017578206,2023-03-28T17.32.58.206,0.320,0.014,-0.026,1.019
1680017578216,2023-03-28T17.32.58.216,0.330,0.011,-0.017,1.018
1680017578226,2023-03-28T17.32.58.226,0.340,0.007,-0.007,1.018
1680017578236,2023-03-28T17.32.58.236,0.350,0.004,-0.005,1.018
1680017578246,2023-03-28T17.32.58.246,0.360,0.006,-0.008,1.017
1680017578256,2023-03-28T17.32.58.256,0.370,0.010,-0.018,1.020
1680017578266,2023-03-28T17.32.58.266,0.380,0.014,-0.024,1.020
1680017578276,2023-03-28T17.32.58.276,0.390,0.015,-0.024,1.021
1680017578286,2023-03-28T17.32.58.286,0.400,0.014,-0.021,1.018
1680017578296,2023-03-28T17.32.58.296,0.410,0.009,-0.014,1.016
1680017578306,2023-03-28T17.32.58.306,0.420,0.007,-0.005,1.017
1680017578316,2023-03-28T17.32.58.316,0.430,0.007,-0.006,1.020
1680017578326,2023-03-28T17.32.58.326,0.440,0.008,-0.012,1.018
1680017578336,2023-03-28T17.32.58.336,0.450,0.012,-0.021,1.017
1680017578346,2023-03-28T17.32.58.346,0.460,0.014,-0.027,1.017
1680017578356,2023-03-28T17.32.58.356,0.470,0.013,-0.025,1.017
1680017578366,2023-03-28T17.32.58.366,0.480,0.012,-0.019,1.018
1680017578376,2023-03-28T17.32.58.376,0.490,0.010,-0.012,1.017
1680017578386,2023-03-28T17.32.58.386,0.500,0.006,-0.008,1.017
1680017578396,2023-03-28T17.32.58.396,0.510,0.007,-0.010,1.016
1680017578406,2023-03-28T17.32.58.406,0.520,0.010,-0.015,1.019
1680017578416,2023-03-28T17.32.58.416,0.530,0.013,-0.021,1.018
1680017578426,2023-03-28T17.32.58.426,0.540,0.013,-0.023,1.019
1680017578436,2023-03-28T17.32.58.436,0.550,0.014,-0.021,1.018
1680017578446,2023-03-28T17.32.58.446,0.560,0.011,-0.016,1.018
1680017578456,2023-03-28T17.32.58.456,0.570,0.009,-0.008,1.018
1680017578466,2023-03-28T17.32.58.466,0.580,0.009,-0.006,1.019
1680017578476,2023-03-28T17.32.58.476,0.590,0.007,-0.013,1.017
1680017578486,2023-03-28T17.32.58.486,0.600,0.011,-0.018,1.017
1680017578496,2023-03-28T17.32.58.496,0.610,0.013,-0.021,1.020
1680017578506,2023-03-28T17.32.58.506,0.620,0.013,-0.022,1.020
1680017578516,2023-03-28T17.32.58.516,0.630,0.012,-0.020,1.019
1680017578526,2023-03-28T17.32.58.526,0.640,0.010,-0.013,1.019
1680017578536,2023-03-28T17.32.58.536,0.650,0.008,-0.008,1.017
1680017578546,2023-03-28T17.32.58.546,0.660,0.007,-0.009,1.019
1680017578556,2023-03-28T17.32.58.556,0.670,0.009,-0.014,1.020
1680017578566,2023-03-28T17.32.58.566,0.680,0.011,-0.019,1.019
1680017578576,2023-03-28T17.32.58.576,0.690,0.012,-0.023,1.017
1680017578586,2023-03-28T17.32.58.586,0.700,0.014,-0.021,1.017
1680017578596,2023-03-28T17.32.58.596,0.710,0.011,-0.016,1.019
1680017578606,2023-03-28T17.32.58.606,0.720,0.008,-0.010,1.019
1680017578616,2023-03-28T17.32.58.616,0.730,0.006,-0.010,1.020
1680017578626,2023-03-28T17.32.58.626,0.740,0.007,-0.013,1.018
1680017578636,2023-03-28T17.32.58.636,0.750,0.012,-0.017,1.016
1680017578646,2023-03-28T17.32.58.646,0.760,0.013,-0.022,1.019
1680017578656,2023-03-28T17.32.58.656,0.770,0.013,-0.024,1.020
1680017578666,2023-03-28T17.32.58.666,0.780,0.011,-0.020,1.018
1680017578676,2023-03-28T17.32.58.676,0.790,0.009,-0.015,1.018
1680017578686,2023-03-28T17.32.58.686,0.800,0.008,-0.010,1.017
1680017578696,2023-03-28T17.32.58.696,0.810,0.007,-0.009,1.018
1680017578706,2023-03-28T17.32.58.706,0.820,0.010,-0.012,1.019
1680017578716,2023-03-28T17.32.58.716,0.830,0.010,-0.018,1.018
1680017578726,2023-03-28T17.32.58.726,0.840,0.014,-0.021,1.018
1680017578736,2023-03-28T17.32.58.736,0.850,0.014,-0.023,1.017
1680017578746,2023-03-28T17.32.58.746,0.860,0.013,-0.018,1.018
1680017578756,2023-03-28T17.32.58.756,0.870,0.009,-0.015,1.019
1680017578766,2023-03-28T17.32.58.766,0.880,0.008,-0.010,1.017
1680017578776,2023-03-28T17.32.58.776,0.890,0.011,-0.011,1.018
1680017578786,2023-03-28T17.32.58.786,0.900,0.011,-0.014,1.019
1680017578796,2023-03-28T17.32.58.796,0.910,0.012,-0.019,1.018
1680017578806,2023-03-28T17.32.58.806,0.920,0.013,-0.023,1.019
1680017578816,2023-03-28T17.32.58.816,0.930,0.014,-0.020,1.015
1680017578826,2023-03-28T17.32.58.826,0.940,0.010,-0.016,1.016
1680017578836,2023-03-28T17.32.58.836,0.950,0.009,-0.011,1.018
1680017578846,2023-03-28T17.32.58.846,0.960,0.009,-0.010,1.018
1680017578856,2023-03-28T17.32.58.856,0.970,0.009,-0.012,1.019
1680017578866,2023-03-28T17.32.58.866,0.980,0.011,-0.016,1.019
1680017578876,2023-03-28T17.32.58.876,0.990,0.013,-0.019,1.018
1680017578886,2023-03-28T17.32.58.886,1.000,0.013,-0.021,1.019
1680017578896,2023-03-28T17.32.58.896,1.010,0.011,-0.019,1.018
1680017578906,2023-03-28T17.32.58.906,1.020,0.009,-0.014,1.019
1680017578916,2023-03-28T17.32.58.916,1.030,0.008,-0.012,1.017
1680017578926,2023-03-28T17.32.58.926,1.040,0.010,-0.011,1.018
1680017578936,2023-03-28T17.32.58.936,1.050,0.011,-0.014,1.019
1680017578946,2023-03-28T17.32.58.946,1.060,0.013,-0.020,1.019
1680017578956,2023-03-28T17.32.58.956,1.070,0.012,-0.021,1.018
1680017578966,2023-03-28T17.32.58.966,1.080,0.013,-0.020,1.017
1680017578976,2023-03-28T17.32.58.976,1.090,0.011,-0.016,1.020
1680017578986,2023-03-28T17.32.58.986,1.100,0.009,-0.013,1.018
1680017578996,2023-03-28T17.32.58.996,1.110,0.009,-0.010,1.016
1680017579006,2023-03-28T17.32.59.006,1.120,0.010,-0.013,1.018
1680017579016,2023-03-28T17.32.59.016,1.130,0.012,-0.018,1.016
1680017579026,2023-03-28T17.32.59.026,1.140,0.013,-0.019,1.017
1680017579036,2023-03-28T17.32.59.036,1.150,0.013,-0.021,1.017
1680017579046,2023-03-28T17.32.59.046,1.160,0.011,-0.019,1.019
1680017579056,2023-03-28T17.32.59.056,1.170,0.009,-0.014,1.017
1680017579066,2023-03-28T17.32.59.066,1.180,0.009,-0.011,1.017
1680017579076,2023-03-28T17.32.59.076,1.190,0.010,-0.011,1.017
1680017579086,2023-03-28T17.32.59.086,1.200,0.009,-0.013,1.017
1680017579096,2023-03-28T17.32.59.096,1.210,0.011,-0.016,1.019
1680017579106,2023-03-28T17.32.59.106,1.220,0.013,-0.019,1.016
1680017579116,2023-03-28T17.32.59.116,1.230,0.012,-0.019,1.017
1680017579126,2023-03-28T17.32.59.126,1.240,0.011,-0.017,1.018
1680017579136,2023-03-28T17.32.59.136,1.250,0.009,-0.015,1.018
1680017579146,2023-03-28T17.32.59.146,1.260,0.008,-0.012,1.018
1680017579156,2023-03-28T17.32.59.156,1.270,0.009,-0.013,1.017
1680017579166,2023-03-28T17.32.59.166,1.280,0.010,-0.016,1.017
1680017579176,2023-03-28T17.32.59.176,1.290,0.011,-0.019,1.018
1680017579186,2023-03-28T17.32.59.186,1.300,0.012,-0.022,1.018
1680017579196,2023-03-28T17.32.59.196,1.310,0.011,-0.018,1.018
