epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1680016710491,2023-03-28T17.18.30.491,0.000,-1.005,0.132,0.185
1680016710501,2023-03-28T17.18.30.501,0.010,-1.015,0.136,0.185
1680016710511,2023-03-28T17.18.30.511,0.020,-1.014,0.137,0.185
1680016710521,2023-03-28T17.18.30.521,0.030,-1.014,0.137,0.183
1680016710531,2023-03-28T17.18.30.531,0.040,-1.012,0.137,0.185
1680016710541,2023-03-28T17.18.30.541,0.050,-1.014,0.134,0.186
1680016710551,2023-03-28T17.18.30.551,0.060,-1.014,0.134,0.185
1680016710561,2023-03-28T17.18.30.561,0.070,-1.014,0.135,0.183
1680016710571,2023-03-28T17.18.30.571,0.080,-1.012,0.138,0.184
1680016710581,2023-03-28T17.18.30.581,0.090,-1.014,0.139,0.185
1680016710591,2023-03-28T17.18.30.591,0.100,-1.013,0.136,0.185
1680016710601,2023-03-28T17.18.30.601,0.110,-1.012,0.137,0.186
1680016710611,2023-03-28T17.18.30.611,0.120,-1.015,0.136,0.186
1680016710621,2023-03-28T17.18.30.621,0.130,-1.014,0.135,0.186
1680016710631,2023-03-28T17.18.30.631,0.140,-1.014,0.132,0.186
1680016710641,2023-03-28T17.18.30.641,0.150,-1.016,0.133,0.186
1680016710651,2023-03-28T17.18.30.651,0.160,-1.014,0.136,0.187
1680016710661,2023-03-28T17.18.30.661,0.170,-1.013,0.137,0.185
1680016710671,2023-03-28T17.18.30.671,0.180,-1.017,0.134,0.183
1680016710681,2023-03-28T17.18.30.681,0.190,-1.017,0.133,0.183
1680016710691,2023-03-28T17.18.30.691,0.200,-1.015,0.135,0.186
1680016710701,2023-03-28T17.18.30.701,0.210,-1.012,0.133,0.183
1680016710711,2023-03-28T17.18.30.711,0.220,-1.013,0.134,0.185
1680016710721,2023-03-28T17.18.30.721,0.230,-1.013,0.135,0.185
1680016710731,2023-03-28T17.18.30.731,0.240,-1.014,0.133,0.187
1680016710741,2023-03-28T17.18.30.741,0.250,-1.016,0.133,0.187
1680016710751,2023-03-28T17.18.30.751,0.260,-1.012,0.130,0.186
1680016710761,2023-03-28T17.18.30.761,0.270,-1.014,0.131,0.186
1680016710771,2023-03-28T17.18.30.771,0.280,-1.015,0.132,0.187
1680016710781,2023-03-28T17.18.30.781,0.290,-1.013,0.133,0.185
1680016710791,2023-03-28T17.18.30.791,0.300,-1.013,0.133,0.185
1680016710801,2023-03-28T17.18.30.801,0.310,-1.014,0.135,0.185
1680016710811,2023-03-28T17.18.30.811,0.320,-1.016,0.135,0.185
1680016710821,2023-03-28T17.18.30.821,0.330,-1.015,0.133,0.186
1680016710831,2023-03-28T17.18.30.831,0.340,-1.014,0.130,0.187
1680016710841,2023-03-28T17.18.30.841,0.350,-1.016,0.128,0.184
1680016710851,2023-03-28T17.18.30.851,0.360,-1.015,0.130,0.185
1680016710861,2023-03-28T17.18.30.861,0.370,-1.015,0.132,0.182
1680016710871,2023-03-28T17.18.30.871,0.380,-1.016,0.135,0.183
1680016710881,2023-03-28T17.18.30.881,0.390,-1.015,0.134,0.182
1680016710891,2023-03-28T17.18.30.891,0.400,-1.016,0.132,0.183
1680016710901,2023-03-28T17.18.30.901,0.410,-1.015,0.131,0.186
1680016710911,2023-03-28T17.18.30.911,0.420,-1.017,0.134,0.185
1680016710921,2023-03-28T17.18.30.921,0.430,-1.014,0.134,0.183
1680016710931,2023-03-28T17.18.30.931,0.440,-1.012,0.134,0.184
1680016710941,2023-03-28T17.18.30.941,0.450,-1.013,0.135,0.183
1680016710951,2023-03-28T17.18.30.951,0.460,-1.014,0.133,0.185
1680016710961,2023-03-28T17.18.30.961,0.470,-1.016,0.131,0.187
1680016710971,2023-03-28T17.18.30.971,0.480,-1.015,0.132,0.187
1680016710981,2023-03-28T17.18.30.981,0.490,-1.017,0.130,0.183
1680016710991,2023-03-28T17.18.30.991,0.500,-1.015,0.129,0.183
1680016711001,2023-03-28T17.18.31.001,0.510,-1.013,0.131,0.185
1680016711011,2023-03-28T17.18.31.011,0.520,-1.014,0.136,0.181
1680016711021,2023-03-28T17.18.31.021,0.530,-1.014,0.135,0.183
1680016711031,2023-03-28T17.18.31.031,0.540,-1.014,0.135,0.185
1680016711041,2023-03-28T17.18.31.041,0.550,-1.015,0.134,0.184
1680016711051,2023-03-28T17.18.31.051,0.560,-1.013,0.131,0.185
1680016711061,2023-03-28T17.18.31.061,0.570,-1.015,0.130,0.187
1680016711071,2023-03-28T17.18.31.071,0.580,-1.015,0.131,0.185
1680016711081,2023-03-28T17.18.31.081,0.590,-1.014,0.132,0.187
1680016711091,2023-03-28T17.18.31.091,0.600,-1.013,0.137,0.186
1680016711101,2023-03-28T17.18.31.101,0.610,-1.014,0.137,0.185
1680016711111,2023-03-28T17.18.31.111,0.620,-1.012,0.133,0.188
1680016711121,2023-03-28T17.18.31.121,0.630,-1.016,0.134,0.185
1680016711131,2023-03-28T17.18.31.131,0.640,-1.017,0.132,0.185
1680016711141,2023-03-28T17.18.31.141,0.650,-1.016,0.130,0.183
1680016711151,2023-03-28T17.18.31.151,0.660,-1.013,0.131,0.182
1680016711161,2023-03-28T17.18.31.161,0.670,-1.014,0.131,0.185
1680016711171,2023-03-28T17.18.31.171,0.680,-1.014,0.130,0.187
1680016711181,2023-03-28T17.18.31.181,0.690,-1.015,0.129,0.185
1680016711191,2023-03-28T17.18.31.191,0.700,-1.017,0.127,0.187
1680016711201,2023-03-28T17.18.31.201,0.710,-1.016,0.128,0.185
1680016711211,2023-03-28T17.18.31.211,0.720,-1.015,0.130,0.187
1680016711221,2023-03-28T17.18.31.221,0.730,-1.014,0.130,0.186
1680016711231,2023-03-28T17.18.31.231,0.740,-1.015,0.134,0.187
