epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1680017578134,2023-03-28T17.32.58.134,0.000,0.034,-0.029,1.016
1680017578144,2023-03-28T17.32.58.144,0.010,0.037,-0.028,1.024
1680017578154,2023-03-28T17.32.58.154,0.020,0.036,-0.021,1.021
1680017578164,2023-03-28T17.32.58.164,0.030,0.030,-0.012,1.020
1680017578174,2023-03-28T17.32.58.174,0.040,0.025,-0.007,1.021
1680017578184,2023-03-28T17.32.58.184,0.050,0.027,-0.008,1.020
1680017578194,2023-03-28T17.32.58.194,0.060,0.030,-0.012,1.021
1680017578204,2023-03-28T17.32.58.204,0.070,0.034,-0.025,1.021
1680017578214,2023-03-28T17.32.58.214,0.080,0.035,-0.031,1.021
1680017578224,2023-03-28T17.32.58.224,0.090,0.035,-0.028,1.021
1680017578234,2023-03-28T17.32.58.234,0.100,0.033,-0.021,1.020
1680017578244,2023-03-28T17.32.58.244,0.110,0.030,-0.009,1.020
1680017578254,2023-03-28T17.32.58.254,0.120,0.027,-0.006,1.020
1680017578264,2023-03-28T17.32.58.264,0.130,0.029,-0.010,1.019
1680017578274,2023-03-28T17.32.58.274,0.140,0.031,-0.019,1.019
1680017578284,2023-03-28T17.32.58.284,0.150,0.036,-0.025,1.019
1680017578294,2023-03-28T17.32.58.294,0.160,0.036,-0.027,1.020
1680017578304,2023-03-28T17.32.58.304,0.170,0.035,-0.022,1.021
1680017578314,2023-03-28T17.32.58.314,0.180,0.030,-0.013,1.020
1680017578324,2023-03-28T17.32.58.324,0.190,0.027,-0.008,1.020
1680017578334,2023-03-28T17.32.58.334,0.200,0.027,-0.009,1.020
1680017578344,2023-03-28T17.32.58.344,0.210,0.030,-0.014,1.021
1680017578354,2023-03-28T17.32.58.354,0.220,0.034,-0.021,1.022
1680017578364,2023-03-28T17.32.58.364,0.230,0.036,-0.027,1.023
1680017578374,2023-03-28T17.32.58.374,0.240,0.034,-0.025,1.022
1680017578384,2023-03-28T17.32.58.384,0.250,0.033,-0.019,1.021
1680017578394,2023-03-28T17.32.58.394,0.260,0.030,-0.011,1.021
1680017578404,2023-03-28T17.32.58.404,0.270,0.028,-0.009,1.021
1680017578414,2023-03-28T17.32.58.414,0.280,0.028,-0.010,1.019
1680017578424,2023-03-28T17.32.58.424,0.290,0.033,-0.016,1.021
1680017578434,2023-03-28T17.32.58.434,0.300,0.034,-0.024,1.022
1680017578444,2023-03-28T17.32.58.444,0.310,0.034,-0.027,1.021
1680017578454,2023-03-28T17.32.58.454,0.320,0.032,-0.022,1.021
1680017578464,2023-03-28T17.32.58.464,0.330,0.031,-0.014,1.021
1680017578474,2023-03-28T17.32.58.474,0.340,0.029,-0.010,1.019
1680017578484,2023-03-28T17.32.58.484,0.350,0.029,-0.008,1.019
1680017578494,2023-03-28T17.32.58.494,0.360,0.031,-0.014,1.021
1680017578504,2023-03-28T17.32.58.504,0.370,0.033,-0.019,1.021
1680017578514,2023-03-28T17.32.58.514,0.380,0.036,-0.024,1.022
1680017578524,2023-03-28T17.32.58.524,0.390,0.036,-0.024,1.021
1680017578534,2023-03-28T17.32.58.534,0.400,0.033,-0.019,1.022
1680017578544,2023-03-28T17.32.58.544,0.410,0.029,-0.012,1.020
1680017578554,2023-03-28T17.32.58.554,0.420,0.030,-0.010,1.022
1680017578564,2023-03-28T17.32.58.564,0.430,0.029,-0.010,1.023
1680017578574,2023-03-28T17.32.58.574,0.440,0.031,-0.018,1.022
1680017578584,2023-03-28T17.32.58.584,0.450,0.034,-0.022,1.021
1680017578594,2023-03-28T17.32.58.594,0.460,0.035,-0.024,1.022
1680017578604,2023-03-28T17.32.58.604,0.470,0.033,-0.021,1.021
1680017578614,2023-03-28T17.32.58.614,0.480,0.030,-0.016,1.021
1680017578624,2023-03-28T17.32.58.624,0.490,0.029,-0.012,1.021
1680017578634,2023-03-28T17.32.58.634,0.500,0.029,-0.010,1.022
1680017578644,2023-03-28T17.32.58.644,0.510,0.030,-0.014,1.021
1680017578654,2023-03-28T17.32.58.654,0.520,0.032,-0.021,1.021
1680017578664,2023-03-28T17.32.58.664,0.530,0.035,-0.026,1.020
1680017578674,2023-03-28T17.32.58.674,0.540,0.034,-0.026,1.023
1680017578684,2023-03-28T17.32.58.684,0.550,0.033,-0.019,1.021
1680017578694,2023-03-28T17.32.58.694,0.560,0.031,-0.012,1.020
1680017578704,2023-03-28T17.32.58.704,0.570,0.028,-0.010,1.021
1680017578714,2023-03-28T17.32.58.714,0.580,0.030,-0.011,1.020
1680017578724,2023-03-28T17.32.58.724,0.590,0.032,-0.014,1.020
1680017578734,2023-03-28T17.32.58.734,0.600,0.033,-0.021,1.021
1680017578744,2023-03-28T17.32.58.744,0.610,0.036,-0.022,1.022
1680017578754,2023-03-28T17.32.58.754,0.620,0.033,-0.021,1.022
1680017578764,2023-03-28T17.32.58.764,0.630,0.030,-0.017,1.021
1680017578774,2023-03-28T17.32.58.774,0.640,0.029,-0.012,1.021
1680017578784,2023-03-28T17.32.58.784,0.650,0.029,-0.011,1.020
1680017578794,2023-03-28T17.32.58.794,0.660,0.030,-0.014,1.021
1680017578804,2023-03-28T17.32.58.804,0.670,0.033,-0.019,1.021
1680017578814,2023-03-28T17.32.58.814,0.680,0.033,-0.023,1.021
1680017578824,2023-03-28T17.32.58.824,0.690,0.032,-0.022,1.022
1680017578834,2023-03-28T17.32.58.834,0.700,0.034,-0.019,1.021
1680017578844,2023-03-28T17.32.58.844,0.710,0.030,-0.012,1.021
1680017578854,2023-03-28T17.32.58.854,0.720,0.029,-0.011,1.021
