epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1680038482190,2023-03-28T23:21:22.190,0.000,-1.001,-0.209,0.178
1680038482200,2023-03-28T23:21:22.200,0.010,-1.009,-0.211,0.181
1680038482210,2023-03-28T23:21:22.210,0.020,-1.006,-0.208,0.180
1680038482220,2023-03-28T23:21:22.220,0.030,-1.008,-0.208,0.179
1680038482230,2023-03-28T23:21:22.230,0.040,-1.010,-0.208,0.179
1680038482240,2023-03-28T23:21:22.240,0.050,-1.008,-0.209,0.178
1680038482250,2023-03-28T23:21:22.250,0.060,-1.006,-0.208,0.179
1680038482260,2023-03-28T23:21:22.260,0.070,-1.006,-0.208,0.179
1680038482270,2023-03-28T23:21:22.270,0.080,-1.008,-0.211,0.176
1680038482280,2023-03-28T23:21:22.280,0.090,-1.008,-0.215,0.179
1680038482290,2023-03-28T23:21:22.290,0.100,-1.009,-0.217,0.179
1680038482300,2023-03-28T23:21:22.300,0.110,-1.007,-0.218,0.179
1680038482310,2023-03-28T23:21:22.310,0.120,-1.005,-0.215,0.176
1680038482320,2023-03-28T23:21:22.320,0.130,-1.009,-0.213,0.178
1680038482330,2023-03-28T23:21:22.330,0.140,-1.007,-0.209,0.182
1680038482340,2023-03-28T23:21:22.340,0.150,-1.009,-0.211,0.180
1680038482350,2023-03-28T23:21:22.350,0.160,-1.009,-0.209,0.178
1680038482360,2023-03-28T23:21:22.360,0.170,-1.009,-0.208,0.178
1680038482370,2023-03-28T23:21:22.370,0.180,-1.008,-0.208,0.177
1680038482380,2023-03-28T23:21:22.380,0.190,-1.008,-0.211,0.179
1680038482390,2023-03-28T23:21:22.390,0.200,-1.007,-0.210,0.182
1680038482400,2023-03-28T23:21:22.400,0.210,-1.007,-0.216,0.183
1680038482410,2023-03-28T23:21:22.410,0.220,-1.007,-0.216,0.174
1680038482420,2023-03-28T23:21:22.420,0.230,-1.012,-0.209,0.177
1680038482430,2023-03-28T23:21:22.430,0.240,-1.013,-0.205,0.182
1680038482440,2023-03-28T23:21:22.440,0.250,-1.005,-0.205,0.180
1680038482450,2023-03-28T23:21:22.450,0.260,-1.006,-0.206,0.176
1680038482460,2023-03-28T23:21:22.460,0.270,-1.010,-0.208,0.177
1680038482470,2023-03-28T23:21:22.470,0.280,-1.007,-0.213,0.179
1680038482480,2023-03-28T23:21:22.480,0.290,-1.005,-0.215,0.179
1680038482490,2023-03-28T23:21:22.490,0.300,-1.005,-0.214,0.182
1680038482500,2023-03-28T23:21:22.500,0.310,-1.007,-0.213,0.181
1680038482510,2023-03-28T23:21:22.510,0.320,-1.007,-0.215,0.180
1680038482520,2023-03-28T23:21:22.520,0.330,-1.006,-0.215,0.179
1680038482530,2023-03-28T23:21:22.530,0.340,-1.008,-0.216,0.178
1680038482540,2023-03-28T23:21:22.540,0.350,-1.007,-0.216,0.180
1680038482550,2023-03-28T23:21:22.550,0.360,-1.006,-0.216,0.180
1680038482560,2023-03-28T23:21:22.560,0.370,-1.005,-0.218,0.180
1680038482570,2023-03-28T23:21:22.570,0.380,-1.007,-0.216,0.182
1680038482580,2023-03-28T23:21:22.580,0.390,-1.010,-0.215,0.181
1680038482590,2023-03-28T23:21:22.590,0.400,-1.008,-0.211,0.180
1680038482600,2023-03-28T23:21:22.600,0.410,-1.007,-0.211,0.179
1680038482610,2023-03-28T23:21:22.610,0.420,-1.005,-0.208,0.179
1680038482620,2023-03-28T23:21:22.620,0.430,-1.007,-0.209,0.179
1680038482630,2023-03-28T23:21:22.630,0.440,-1.008,-0.208,0.178
1680038482640,2023-03-28T23:21:22.640,0.450,-1.009,-0.206,0.178
1680038482650,2023-03-28T23:21:22.650,0.460,-1.008,-0.208,0.179
1680038482660,2023-03-28T23:21:22.660,0.470,-1.009,-0.209,0.177
1680038482670,2023-03-28T23:21:22.670,0.480,-1.008,-0.209,0.176
1680038482680,2023-03-28T23:21:22.680,0.490,-1.010,-0.208,0.179
1680038482690,2023-03-28T23:21:22.690,0.500,-1.008,-0.208,0.178
1680038482700,2023-03-28T23:21:22.700,0.510,-1.009,-0.208,0.178
1680038482710,2023-03-28T23:21:22.710,0.520,-1.011,-0.208,0.179
1680038482720,2023-03-28T23:21:22.720,0.530,-1.010,-0.210,0.179
1680038482730,2023-03-28T23:21:22.730,0.540,-1.006,-0.211,0.178
1680038482740,2023-03-28T23:21:22.740,0.550,-1.007,-0.213,0.178
1680038482750,2023-03-28T23:21:22.750,0.560,-1.006,-0.213,0.179
1680038482760,2023-03-28T23:21:22.760,0.570,-1.006,-0.212,0.179
1680038482770,2023-03-28T23:21:22.770,0.580,-1.007,-0.210,0.181
1680038482780,2023-03-28T23:21:22.780,0.590,-1.005,-0.209,0.181
1680038482790,2023-03-28T23:21:22.790,0.600,-1.006,-0.211,0.180
1680038482800,2023-03-28T23:21:22.800,0.610,-1.012,-0.214,0.177
1680038482810,2023-03-28T23:21:22.810,0.620,-1.011,-0.208,0.178
1680038482820,2023-03-28T23:21:22.820,0.630,-1.006,-0.207,0.182
1680038482830,2023-03-28T23:21:22.830,0.640,-1.005,-0.200,0.179
1680038482840,2023-03-28T23:21:22.840,0.650,-1.010,-0.199,0.179
1680038482850,2023-03-28T23:21:22.850,0.660,-1.010,-0.201,0.173
1680038482860,2023-03-28T23:21:22.860,0.670,-1.013,-0.203,0.176
1680038482870,2023-03-28T23:21:22.870,0.680,-1.010,-0.204,0.179
1680038482880,2023-03-28T23:21:22.880,0.690,-1.007,-0.201,0.176
1680038482890,2023-03-28T23:21:22.890,0.700,-1.007,-0.202,0.178
1680038482900,2023-03-28T23:21:22.900,0.710,-1.007,-0.207,0.180
1680038482910,2023-03-28T23:21:22.910,0.720,-1.007,-0.209,0.178
1680038482920,2023-03-28T23:21:22.920,0.730,-1.009,-0.210,0.181
1680038482930,2023-03-28T23:21:22.930,0.740,-1.008,-0.210,0.182
1680038482940,2023-03-28T23:21:22.940,0.750,-1.008,-0.210,0.179
1680038482950,2023-03-28T23:21:22.950,0.760,-1.009,-0.210,0.179
1680038482960,2023-03-28T23:21:22.960,0.770,-1.007,-0.210,0.181
1680038482970,2023-03-28T23:21:22.970,0.780,-1.006,-0.209,0.180
1680038482980,2023-03-28T23:21:22.980,0.790,-1.008,-0.213,0.177
1680038482990,2023-03-28T23:21:22.990,0.800,-1.009,-0.213,0.179
