epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1680038482149,2023-03-28T23:21:22.149,0.000,-0.943,-0.257,-0.173
1680038482159,2023-03-28T23:21:22.159,0.010,-0.952,-0.260,-0.173
1680038482169,2023-03-28T23:21:22.169,0.020,-0.950,-0.260,-0.175
1680038482179,2023-03-28T23:21:22.179,0.030,-0.948,-0.260,-0.176
1680038482189,2023-03-28T23:21:22.189,0.040,-0.948,-0.263,-0.174
1680038482199,2023-03-28T23:21:22.199,0.050,-0.952,-0.263,-0.174
1680038482209,2023-03-28T23:21:22.209,0.060,-0.951,-0.262,-0.176
1680038482219,2023-03-28T23:21:22.219,0.070,-0.950,-0.259,-0.174
1680038482229,2023-03-28T23:21:22.229,0.080,-0.949,-0.258,-0.175
1680038482239,2023-03-28T23:21:22.239,0.090,-0.948,-0.257,-0.176
1680038482249,2023-03-28T23:21:22.249,0.100,-0.946,-0.260,-0.177
1680038482259,2023-03-28T23:21:22.259,0.110,-0.946,-0.260,-0.175
1680038482269,2023-03-28T23:21:22.269,0.120,-0.948,-0.263,-0.177
1680038482279,2023-03-28T23:21:22.279,0.130,-0.946,-0.265,-0.175
1680038482289,2023-03-28T23:21:22.289,0.140,-0.946,-0.266,-0.176
1680038482299,2023-03-28T23:21:22.299,0.150,-0.949,-0.267,-0.173
1680038482309,2023-03-28T23:21:22.309,0.160,-0.949,-0.267,-0.175
1680038482319,2023-03-28T23:21:22.319,0.170,-0.950,-0.264,-0.173
1680038482329,2023-03-28T23:21:22.329,0.180,-0.950,-0.259,-0.173
1680038482339,2023-03-28T23:21:22.339,0.190,-0.950,-0.259,-0.172
1680038482349,2023-03-28T23:21:22.349,0.200,-0.952,-0.257,-0.173
1680038482359,2023-03-28T23:21:22.359,0.210,-0.949,-0.258,-0.176
1680038482369,2023-03-28T23:21:22.369,0.220,-0.949,-0.258,-0.174
1680038482379,2023-03-28T23:21:22.379,0.230,-0.949,-0.260,-0.171
1680038482389,2023-03-28T23:21:22.389,0.240,-0.949,-0.266,-0.173
1680038482399,2023-03-28T23:21:22.399,0.250,-0.952,-0.266,-0.174
1680038482409,2023-03-28T23:21:22.409,0.260,-0.951,-0.262,-0.176
1680038482419,2023-03-28T23:21:22.419,0.270,-0.951,-0.259,-0.172
1680038482429,2023-03-28T23:21:22.429,0.280,-0.950,-0.258,-0.174
1680038482439,2023-03-28T23:21:22.439,0.290,-0.951,-0.259,-0.175
1680038482449,2023-03-28T23:21:22.449,0.300,-0.949,-0.258,-0.176
1680038482459,2023-03-28T23:21:22.459,0.310,-0.947,-0.260,-0.175
1680038482469,2023-03-28T23:21:22.469,0.320,-0.947,-0.264,-0.174
1680038482479,2023-03-28T23:21:22.479,0.330,-0.948,-0.264,-0.172
1680038482489,2023-03-28T23:21:22.489,0.340,-0.947,-0.265,-0.173
1680038482499,2023-03-28T23:21:22.499,0.350,-0.948,-0.268,-0.171
1680038482509,2023-03-28T23:21:22.509,0.360,-0.948,-0.268,-0.172
1680038482519,2023-03-28T23:21:22.519,0.370,-0.949,-0.269,-0.171
1680038482529,2023-03-28T23:21:22.529,0.380,-0.949,-0.266,-0.172
1680038482539,2023-03-28T23:21:22.539,0.390,-0.946,-0.265,-0.171
1680038482549,2023-03-28T23:21:22.549,0.400,-0.947,-0.266,-0.171
1680038482559,2023-03-28T23:21:22.559,0.410,-0.949,-0.268,-0.174
1680038482569,2023-03-28T23:21:22.569,0.420,-0.950,-0.266,-0.172
1680038482579,2023-03-28T23:21:22.579,0.430,-0.950,-0.263,-0.172
1680038482589,2023-03-28T23:21:22.589,0.440,-0.950,-0.262,-0.174
1680038482599,2023-03-28T23:21:22.599,0.450,-0.950,-0.258,-0.174
1680038482609,2023-03-28T23:21:22.609,0.460,-0.950,-0.258,-0.175
1680038482619,2023-03-28T23:21:22.619,0.470,-0.950,-0.256,-0.176
1680038482629,2023-03-28T23:21:22.629,0.480,-0.949,-0.254,-0.177
1680038482639,2023-03-28T23:21:22.639,0.490,-0.951,-0.254,-0.175
1680038482649,2023-03-28T23:21:22.649,0.500,-0.953,-0.256,-0.175
1680038482659,2023-03-28T23:21:22.659,0.510,-0.951,-0.258,-0.177
1680038482669,2023-03-28T23:21:22.669,0.520,-0.950,-0.259,-0.177
1680038482679,2023-03-28T23:21:22.679,0.530,-0.949,-0.259,-0.175
1680038482689,2023-03-28T23:21:22.689,0.540,-0.949,-0.257,-0.177
1680038482699,2023-03-28T23:21:22.699,0.550,-0.950,-0.259,-0.174
1680038482709,2023-03-28T23:21:22.709,0.560,-0.948,-0.261,-0.172
1680038482719,2023-03-28T23:21:22.719,0.570,-0.949,-0.262,-0.175
1680038482729,2023-03-28T23:21:22.729,0.580,-0.948,-0.265,-0.172
1680038482739,2023-03-28T23:21:22.739,0.590,-0.948,-0.264,-0.171
1680038482749,2023-03-28T23:21:22.749,0.600,-0.948,-0.265,-0.172
1680038482759,2023-03-28T23:21:22.759,0.610,-0.950,-0.264,-0.172
1680038482769,2023-03-28T23:21:22.769,0.620,-0.951,-0.262,-0.173
1680038482779,2023-03-28T23:21:22.779,0.630,-0.950,-0.260,-0.178
1680038482789,2023-03-28T23:21:22.789,0.640,-0.951,-0.260,-0.177
1680038482799,2023-03-28T23:21:22.799,0.650,-0.950,-0.255,-0.172
1680038482809,2023-03-28T23:21:22.809,0.660,-0.950,-0.251,-0.173
1680038482819,2023-03-28T23:21:22.819,0.670,-0.952,-0.251,-0.171
1680038482829,2023-03-28T23:21:22.829,0.680,-0.953,-0.252,-0.171
1680038482839,2023-03-28T23:21:22.839,0.690,-0.955,-0.249,-0.176
1680038482849,2023-03-28T23:21:22.849,0.700,-0.956,-0.250,-0.177
1680038482859,2023-03-28T23:21:22.859,0.710,-0.951,-0.252,-0.176
1680038482869,2023-03-28T23:21:22.869,0.720,-0.950,-0.253,-0.175
1680038482879,2023-03-28T23:21:22.879,0.730,-0.950,-0.254,-0.176
1680038482889,2023-03-28T23:21:22.889,0.740,-0.949,-0.257,-0.174
1680038482899,2023-03-28T23:21:22.899,0.750,-0.950,-0.260,-0.172
1680038482909,2023-03-28T23:21:22.909,0.760,-0.950,-0.262,-0.172
1680038482919,2023-03-28T23:21:22.919,0.770,-0.948,-0.263,-0.176
1680038482929,2023-03-28T23:21:22.929,0.780,-0.949,-0.264,-0.175
1680038482939,2023-03-28T23:21:22.939,0.790,-0.950,-0.261,-0.174
1680038482949,2023-03-28T23:21:22.949,0.800,-0.950,-0.262,-0.172
1680038482959,2023-03-28T23:21:22.959,0.810,-0.950,-0.263,-0.173
1680038482969,2023-03-28T23:21:22.969,0.820,-0.948,-0.261,-0.174
1680038482979,2023-03-28T23:21:22.979,0.830,-0.951,-0.263,-0.174
1680038482989,2023-03-28T23:21:22.989,0.840,-0.949,-0.261,-0.173
1680038482999,2023-03-28T23:21:22.999,0.850,-0.948,-0.257,-0.174
1680038483009,2023-03-28T23:21:23.009,0.860,-0.951,-0.256,-0.174
1680038483019,2023-03-28T23:21:23.019,0.870,-0.952,-0.255,-0.175
1680038483029,2023-03-28T23:21:23.029,0.880,-0.949,-0.256,-0.179
1680038483039,2023-03-28T23:21:23.039,0.890,-0.949,-0.254,-0.176
1680038483049,2023-03-28T23:21:23.049,0.900,-0.952,-0.252,-0.173
1680038483059,2023-03-28T23:21:23.059,0.910,-0.950,-0.251,-0.175
1680038483069,2023-03-28T23:21:23.069,0.920,-0.949,-0.250,-0.174
1680038483079,2023-03-28T23:21:23.079,0.930,-0.952,-0.254,-0.171
1680038483089,2023-03-28T23:21:23.089,0.940,-0.950,-0.254,-0.174
1680038483099,2023-03-28T23:21:23.099,0.950,-0.950,-0.256,-0.174
1680038483109,2023-03-28T23:21:23.109,0.960,-0.952,-0.256,-0.173
1680038483119,2023-03-28T23:21:23.119,0.970,-0.954,-0.254,-0.176
1680038483129,2023-03-28T23:21:23.129,0.980,-0.952,-0.256,-0.173
1680038483139,2023-03-28T23:21:23.139,0.990,-0.950,-0.255,-0.176
1680038483149,2023-03-28T23:21:23.149,1.000,-0.949,-0.254,-0.179
1680038483159,2023-03-28T23:21:23.159,1.010,-0.950,-0.256,-0.177
1680038483169,2023-03-28T23:21:23.169,1.020,-0.949,-0.255,-0.175
1680038483179,2023-03-28T23:21:23.179,1.030,-0.951,-0.255,-0.176
1680038483189,2023-03-28T23:21:23.189,1.040,-0.951,-0.254,-0.177
1680038483199,2023-03-28T23:21:23.199,1.050,-0.952,-0.253,-0.176
1680038483209,2023-03-28T23:21:23.209,1.060,-0.951,-0.251,-0.179
1680038483219,2023-03-28T23:21:23.219,1.070,-0.952,-0.251,-0.176
1680038483229,2023-03-28T23:21:23.229,1.080,-0.952,-0.253,-0.176
1680038483239,2023-03-28T23:21:23.239,1.090,-0.953,-0.253,-0.176
1680038483249,2023-03-28T23:21:23.249,1.100,-0.952,-0.256,-0.176
1680038483259,2023-03-28T23:21:23.259,1.110,-0.950,-0.255,-0.177
1680038483269,2023-03-28T23:21:23.269,1.120,-0.949,-0.256,-0.173
1680038483279,2023-03-28T23:21:23.279,1.130,-0.950,-0.258,-0.174
1680038483289,2023-03-28T23:21:23.289,1.140,-0.948,-0.256,-0.174
1680038483299,2023-03-28T23:21:23.299,1.150,-0.950,-0.257,-0.177
1680038483309,2023-03-28T23:21:23.309,1.160,-0.954,-0.257,-0.179
